"Date","Mkt-RF","SMB","HML","RF","FMAGX"
200601,3.65,5.38,1.13,0.35,4.77
200602,-0.5,-0.37,-0.84,0.34,-1.49
200603,1.54,3.52,-0.02,0.37,2.68
200604,0.94,-1.21,3.06,0.36,1.92
200605,-3.53,-2.99,2.72,0.43,-4.88
200606,-0.44,-0.47,1.48,0.4,-0.74
200607,-0.59,-3.91,3.28,0.4,-3.13
200608,2.09,0.79,-1.72,0.42,2.41
200609,1.53,-1.19,-0.45,0.41,1.12
200610,3.3,1.68,0.48,0.41,2.92
200611,1.95,0.7,0.46,0.42,2.60
200612,0.68,-0.9,2.55,0.4,-0.53
200701,1.5,0.04,-0.09,0.44,2.86
200702,-1.78,1.39,0.31,0.38,-1.64
200703,0.87,-0.19,0.32,0.43,0.83
200704,3.55,-2.11,-0.96,0.44,4.82
200705,3.48,-0.07,-0.08,0.41,4.06
200706,-1.87,0.65,-1.05,0.4,-0.42
200707,-3.57,-2.71,-2.97,0.4,-1.83
200708,0.75,-0.13,-2.35,0.42,1.16
200709,3.77,-2.47,-2.09,0.32,6.21
200710,2.26,0.08,-1.98,0.32,5.32
200711,-5.27,-2.74,-0.99,0.34,-3.79
200712,-0.7,0.06,-0.07,0.27,0.34
200801,-6.44,-0.76,3.05,0.21,-8.95
200802,-2.33,-0.54,0,0.13,-1.60
200803,-1.21,0.85,0.19,0.17,-2.19
200804,4.94,-1.53,0.07,0.17,6.51
200805,2.22,2.87,-0.31,0.17,3.07
200806,-8.03,1.08,-1.05,0.17,-8.38
200807,-1.47,3.71,3.61,0.15,-3.94
200808,0.99,3.76,1.46,0.12,-0.08
200809,-9.96,-0.24,4.48,0.15,-17.97
200810,-18.54,-2.12,-3.13,0.08,-21.59
200811,-8.55,-3.62,-4.93,0.02,-11.33
200812,2.06,4.04,-1.28,0.09,4.88
200901,-7.75,-0.91,-9.93,0,-7.53
200902,-10.12,-0.41,-6.73,0.01,-7.59
200903,8.76,0.74,2.55,0.01,13.89
200904,11.04,5.14,5.74,0.01,13.68
200905,6.73,-2.61,0.44,0,6.23
200906,-0.28,2.64,-2.48,0,-1.38
200907,8.24,2.48,4.83,0.01,8.77
200908,3.18,-0.58,7.62,0.01,2.16
200909,4.52,2.36,1.5,0,5.31
200910,-2.84,-4.27,-4.38,0,-5.42
200911,5.74,-2.83,0.12,0,5.44
200912,2.92,5.88,0.74,0,4.36
201001,-3.71,0.43,0.57,0,-4.38
201002,3.54,1.41,2.75,0,3.02
201003,6.44,1.59,2.02,0,6.63
201004,2.02,5,3.14,0,1.49
201005,-8,-0.03,-2.36,0.01,-8.10
201006,-5.21,-2.05,-4.28,0.01,-6.47
201007,7.24,-0.08,0.13,0.01,5.07
201008,-4.4,-2.92,-1.71,0.01,-5.93
201009,9.24,3.97,-3.14,0.01,10.85
201010,3.89,0.91,-2.14,0.01,3.61
201011,0.58,3.72,-0.61,0.01,1.36
201012,6.77,0.81,3.54,0.01,6.67
